i:52, j:8, l1:0, l2:0, l3:255
i:52, j:9, l1:0, l2:0, l3:255
i:53, j:0, l1:0, l2:0, l3:255
i:53, j:1, l1:0, l2:0, l3:255
i:53, j:2, l1:0, l2:0, l3:255
i:53, j:3, l1:0, l2:0, l3:255
i:53, j:4, l1:0, l2:0, l3:255
i:53, j:5, l1:0, l2:0, l3:255
i:53, j:6, l1:0, l2:0, l3:255
i:53, j:7, l1:0, l2:0, l3:255
i:53, j:8, l1:0, l2:0, l3:255
i:53, j:9, l1:0, l2:0, l3:255
i:54, j:0, l1:12368880359562970210, l2:787156130049, l3:1
i:54, j:1, l1:0, l2:0, l3:255
i:54, j:2, l1:0, l2:0, l3:255
i:54, j:3, l1:0, l2:0, l3:255
i:54, j:4, l1:0, l2:0, l3:255
i:54, j:5, l1:0, l2:0, l3:255
i:54, j:6, l1:0, l2:0, l3:255
i:54, j:7, l1:0, l2:0, l3:255
i:54, j:8, l1:0, l2:0, l3:255
i:54, j:9, l1:0, l2:0, l3:255
i:55, j:0, l1:2570450552073041282, l2:1013478582801, l3:2
i:55, j:1, l1:0, l2:0, l3:255
i:55, j:2, l1:0, l2:0, l3:255
i:55, j:3, l1:0, l2:0, l3:255
i:55, j:4, l1:0, l2:0, l3:255
i:55, j:5, l1:0, l2:0, l3:255
i:55, j:6, l1:0, l2:0, l3:255
i:55, j:7, l1:0, l2:0, l3:255
i:55, j:8, l1:0, l2:0, l3:255
i:55, j:9, l1:0, l2:0, l3:255
i:56, j:0, l1:10173021962942381122, l2:198053080065, l3:1
i:56, j:1, l1:0, l2:0, l3:255
i:56, j:2, l1:0, l2:0, l3:255
i:56, j:3, l1:0, l2:0, l3:255
i:56, j:4, l1:0, l2:0, l3:255
i:56, j:5, l1:0, l2:0, l3:255
i:56, j:6, l1:0, l2:0, l3:255
i:56, j:7, l1:0, l2:0, l3:255
i:56, j:8, l1:0, l2:0, l3:255
i:56, j:9, l1:0, l2:0, l3:255
i:57, j:0, l1:15529718430953387443, l2:422961237505, l3:1
i:57, j:1, l1:1001183174595186839, l2:140124199425, l3:2
i:57, j:2, l1:656028030986421580, l2:702004673297, l3:0
i:57, j:3, l1:0, l2:0, l3:255
i:57, j:4, l1:0, l2:0, l3:255
i:57, j:5, l1:0, l2:0, l3:255
i:57, j:6, l1:0, l2:0, l3:255
i:57, j:7, l1:0, l2:0, l3:255
i:57, j:8, l1:0, l2:0, l3:255
i:57, j:9, l1:0, l2:0, l3:255
i:58, j:0, l1:0, l2:0, l3:255
i:58, j:1, l1:0, l2:0, l3:255
i:58, j:2, l1:0, l2:0, l3:255
i:58, j:3, l1:0, l2:0, l3:255
i:58, j:4, l1:0, l2:0, l3:255
